commodity,model,rmse,mae,mape,r2,n_train,n_test
atta,Baseline,1.334,0.701,1.68,0.9695,16532,6842
atta,XGBoost,0.285,0.142,0.33,0.9986,16532,6842
atta,LightGBM,0.312,0.157,0.37,0.9983,16532,6842
gram_dal,Baseline,2.193,1.441,1.61,0.9113,16532,6842
gram_dal,XGBoost,0.638,0.33,0.36,0.9925,16532,6842
gram_dal,LightGBM,0.633,0.344,0.37,0.9926,16532,6842
groundnut_oil,Baseline,4.87,2.594,1.46,0.9656,15552,6446
groundnut_oil,XGBoost,4.04,1.243,0.87,0.9763,15552,6446
groundnut_oil,LightGBM,3.947,1.296,0.89,0.9774,15552,6446
gur,Baseline,2.491,1.101,1.64,0.9734,16532,6842
gur,XGBoost,0.982,0.325,0.46,0.9959,16532,6842
gur,LightGBM,0.967,0.364,0.53,0.996,16532,6842
masoor_dal,Baseline,2.22,1.292,1.36,0.9127,16532,6842
masoor_dal,XGBoost,0.396,0.209,0.22,0.9972,16532,6842
masoor_dal,LightGBM,0.395,0.229,0.24,0.9972,16532,6842
milk,Baseline,1.072,0.566,0.95,0.9829,15662,6488
milk,XGBoost,0.334,0.201,0.33,0.9983,15662,6488
milk,LightGBM,0.371,0.232,0.38,0.998,15662,6488
moong_dal,Baseline,2.321,1.418,1.17,0.9123,16532,6842
moong_dal,XGBoost,0.511,0.303,0.25,0.9957,16532,6842
moong_dal,LightGBM,0.519,0.311,0.25,0.9956,16532,6842
mustard_oil,Baseline,4.221,2.341,1.56,0.9252,16532,6842
mustard_oil,XGBoost,0.87,0.535,0.36,0.9968,16532,6842
mustard_oil,LightGBM,0.955,0.598,0.41,0.9962,16532,6842
onion,Baseline,3.355,2.36,6.01,0.8781,16532,6842
onion,XGBoost,0.504,0.292,0.72,0.9973,16532,6842
onion,LightGBM,0.5,0.299,0.74,0.9973,16532,6842
palm_oil,Baseline,5.618,2.575,2.24,0.8359,16039,6630
palm_oil,XGBoost,1.869,0.606,0.51,0.9818,16039,6630
palm_oil,LightGBM,1.882,0.626,0.53,0.9816,16039,6630
potato,Baseline,2.443,1.725,5.58,0.9361,16532,6842
potato,XGBoost,0.741,0.299,0.85,0.9941,16532,6842
potato,LightGBM,0.775,0.314,0.89,0.9936,16532,6842
rice,Baseline,1.458,0.827,1.82,0.9608,16532,6842
rice,XGBoost,0.82,0.346,0.66,0.9876,16532,6842
rice,LightGBM,0.78,0.349,0.67,0.9888,16532,6842
salt,Baseline,0.864,0.432,2.02,0.9626,16532,6842
salt,XGBoost,0.223,0.137,0.66,0.9975,16532,6842
salt,LightGBM,0.214,0.133,0.64,0.9977,16532,6842
soya_oil,Baseline,5.526,2.844,2.2,0.7393,15260,6323
soya_oil,XGBoost,0.942,0.518,0.4,0.9924,15260,6323
soya_oil,LightGBM,1.14,0.611,0.47,0.9889,15260,6323
sugar,Baseline,0.676,0.357,0.76,0.9657,16532,6842
sugar,XGBoost,0.213,0.109,0.22,0.9966,16532,6842
sugar,LightGBM,0.214,0.119,0.25,0.9966,16532,6842
sunflower_oil,Baseline,5.591,2.809,1.88,0.9396,16532,6842
sunflower_oil,XGBoost,1.071,0.573,0.4,0.9978,16532,6842
sunflower_oil,LightGBM,1.047,0.609,0.43,0.9979,16532,6842
tea_loose,Baseline,11.876,6.518,2.18,0.9539,16182,6698
tea_loose,XGBoost,2.477,1.361,0.45,0.998,16182,6698
tea_loose,LightGBM,3.331,1.65,0.54,0.9964,16182,6698
tomato,Baseline,8.707,5.77,12.14,0.7698,16532,6842
tomato,XGBoost,0.823,0.466,0.99,0.9979,16532,6842
tomato,LightGBM,0.842,0.506,1.08,0.9978,16532,6842
tur_dal,Baseline,5.261,3.164,1.98,0.8708,16532,6842
tur_dal,XGBoost,1.369,0.678,0.43,0.9912,16532,6842
tur_dal,LightGBM,1.269,0.659,0.42,0.9925,16532,6842
urad_dal,Baseline,2.676,1.727,1.34,0.9474,16532,6842
urad_dal,XGBoost,0.967,0.445,0.33,0.9931,16532,6842
urad_dal,LightGBM,0.951,0.434,0.32,0.9934,16532,6842
vanaspati,Baseline,5.813,2.894,2.12,0.8806,16532,6842
vanaspati,XGBoost,0.93,0.499,0.39,0.9969,16532,6842
vanaspati,LightGBM,0.882,0.505,0.39,0.9972,16532,6842
wheat,Baseline,1.01,0.549,1.54,0.9791,15553,6446
wheat,XGBoost,0.558,0.21,0.55,0.9936,15553,6446
wheat,LightGBM,0.555,0.211,0.55,0.9937,15553,6446
